Response,Sentiment
None of them applied to my problem.,N
Not all the forms I needed were made available on this page nor were the instructions I needed.  Which meant I had to call in...always takes over an hour to reach a representative.,N
Not compatinle with iphone,O
Not enough staff for amount of claims. Took 1 1/2  week persistence before I was able to get through. Unexceptable.,N
Not step by step on how to apply for desability,N
Not user friendly for elderly,N
"Not very straight forward, it's difficult to find what is missing to go back and complete",N
Nunca me podido meter ami cuenta [I have never been able to log into my account],N
Nunca se puede comunicar con ustedes quiero hacer una extensiÛn y no sÈ cÛmo hacerla porque ustedes no ayudan [I can never get in touch with you guys I want to make an extension and I don't know how to do it because you guys don't help],N
"Obviously contacting the EDD office is the worst experience in recorded history. it was on the news during COVID and the performance hasn't changed. So in the end you submit a claim and hope all goes in your favor. That being said I have had phone calls FROM the office and usually so far; those employees are quick, professional and usually pretty understanding.",O
On line filling is convenient and time saving,P
"On line is pretty good. I made mistake last time by sending in, disaster. On line is quick if you have all your documents in order. I had some questions so I just referred to the help pages. This was simple to navigate through. The go section is very helpful too.",P
Once I finally got through (it took weeks of calling) the person was helpful.,P
Once I started the process it took a while to figure everything out but once I read and got help the process went smoothly,P
"Once i was able to get in touch with someone on the phone, the representative was helpful! But that took me calling and hanging up, calling and hanging up for about 30 min until I could get through. When i used the 'update my claim' button to see if i could get more information, it took up to 75 days for someone to respond and then when they did respond, i didn't feel i got a full response. Mail sent in my my physician also took over a month to process. All in all, it took me almost 5 months to get paid. It seems the entity is understaffed or the systems in place aren't working as efficiently as they should.",N
One must guess what the directions are even asking me to do.  It's cumbersome and I often get 'unavailable' so frustrating,N
One of my claims was denied and have not been able to contact anyone. Called several times and operator ends call.,N
Online claim was not process on timely manner. Phone called and email were not answering or return. Filling online is not fast process. Need to improve answer service,N
Online is definitely easier and less time consuming than attempting to contact via phone.  It took my over 20 tries to get anyone to speak with,N
Online is quick and easy,P
Only thing i have a problem with is that you cant to anyone on the phone..i had been calling for 5 day to find out whats going on with my claim,N
Only way to contact Edd is phone witch is always busy,N
operators are always unavailable,N
Pathetic Service.,N
"People have no way of emailing actual questions. You can only hit the contact for update on your claim button without adding information.  I could not find correct forms several times.    My biggest concern about the process I went through is every form has some type of threat at the bottom of it stating if you don't do something correctly, you'll lose your benefits. People are already under tremendous stress and anxiety when they reach out to your agency. The language on your forms needs to be reviewed.",N
People need to answer the phone when they call and I hang up on people,N
"Phone lines disconnect midway through conversation, it takes 7-10 days apparently to get a response from an email and my payment is 3 weeks overdue. It's difficult to get by and I need to know why benefits have stopped",N
Phone system is frustrating. Try to call  Ringing 10+ min for automated to say try again later or no one available,N
"Pick up your phone. Hire more people, i know how to use a computer. We i need to do is not on you web site, someone from you office needs to do it.",N
Please add staff. The delay is causing me anxiety and increase inability to function.,N
Please fix login process!,N
pls call me!!! [PHONE NUMBER],O
prefer talk to a patient representative agent,O
Preferably like something read to me in case I have questions besides that good,P
Probably part of a broken record. It is ALMOST IMPOSSIBLE to get a hold of anyone on the phones. I was sent a message to do an In-Call notice and I struggled to get through. I currently have no money coming in and my stress levels are extremely high and EDD adds to the stress. I paid into SDI and have a legit injury from 20 years in law enforcement and I'm currently broke and about to become homeless since I cannot pay bills. Huge slap in the face after serving for 20+ years.,N
Provided great guidance on expectation and what is required  That allowed me to better understand the process,P
"Pues todas las herramientas son ˙tiles para darnos una direcciÛn del cÛmo presentar los formularios de la manera correcta a˙n que como todo cada caso es diferente y es difÌcil encontrar exactamente lo que una persona textualmente necesita [Well, all the tools are useful to give us a direction on how to present the forms in the correct way, although as with everything, each case is different and it is difficult to find exactly what a person literally needs.]",P
Question about process to receive payment and missing documents to receive payment at,O
Questions you have are not available on those websites and you spend a whole week trying to get through on the customer number just to speak to a live agent,N
quick response,P
Reached by phone is very hard wait to long in Edd office,N
Reaching live representovr on the phone is almost impossible.,N
Reading and video helped a lot,P
"Representative never gets back to claimant, when requesting claim info",N
SDI Agent/Rep was immensely helpful and knowledgeable.,P
"SDI customer service is amazing and so helpful. Each time that I have called they have been a wealth of information, took the time and even sounded happy. I am forever grateful for their services and for the special person who worked on my file and took the time to call me to go over it with me.",P
SDI Rep helped correct my previous errors and continued my claim.,P
Self explanatory,O
Self explanatory was useful.,P
"Self-explanatory, ease of use",O
Sent several emails and never got any answer back.,N
Several times I contact you guys the information I got is very useful. Thank you.,P
"Shame on you State  of California.  No one picks up your phone to  assist. I have worked and paid my taxes  my entire life. I sent all requested documents certified mail let you refuse to pay me my money. , I have sent multiple  signatures and documents  from  my Dr, and Additional signatures. You have everything and I have proof.  Certified mail.  Do we need to  take this to  court?  Shame on you.",N
"Shame on you.  No one picks up your phone to  assist. I have worked and pId my taces my entire life. I sent all documents, signatures from  my Dr, and Additinal siganatures  Certified mail.  Do we need to  take this to  court?  Shame on you.",N
"Sick people don't have patience, and shouldn't have to.     Make This Shit Easier",N
Simple general information. My specific inquiry was not an inclusion.,O
"Site isn't that user friendly, the back button takes you out. Never a response from anyone. Slow service, paperwork mailed from Doctors [DATE1] payment [DATE2]...slow service",N
"Slow to navigate, could be very complex for some.",N
"So disappointed and frustrated. This process has been insanely difficult with multiple road blocks all along the way. I have gone to extreme lengths to fill out everything properly. I sent so much back up documentation and so did my doctor. It's been months, and I am still getting denied. I have worked all my life to be slapped in the face once I actually need help.",N
So eased to find a survey. I pray someone reads and contacts me back. [PHONE NUMBER]. [EMAIL].   Urgent ?? since only received 1 check. May have to go back to work before recovered to get paid.  Paid weekly? Biweekly? My return date pushed to [DATE] Called over 50 times. No luck! Used X the old twitter. Sent comment. No response.  Messenger didn't work.  Please confirm you received my return date. Two weeks behind on payment.  Hurting my family.  Thanks Brian,N
So hard to get to get answers from eDD whether from their 800 number or on line. I'm having issues with my miss benefit payments - can't get any answers on both. Costumer service line is horrible.,N
"Some of the information didn't seem ccomplete,",O
"Some of the questions need Assistance to complete. The wording is somewhat difficult to understand when processing also before completing questionnaire and you hit, save prevent you from completing the questionnaire, was unable to go back to complete the questionnaire or retrieve the full questionnaire.",N
Some terrific processes on system and some still need fixing   Please try to work on the phone option as it is impossible to get a hold of someone,N
"Some terrific progress and a lot of terrific people working there   Love mostly everything   Only issue you have get to improve is your phone line to speak to someone, this is the most challenging",P
Someone used my edd card. 2 charges in Mexico.  I sent 2 requests via email and have not had compensation or rely. I asked a over a month ago.,N
Sometimes extremely difficult to get through to an agent,N
Sometimes I was not able to contact anyone or get information.  Other times I had help and then I had difficulty logging in again.,N
Sometimes it's not clear what needs to happen,N
sometimes someone responds but its not with useful information and I have to call anyway,N
Sometimes the website is too vague for specific situations and it is very difficult to reach a person,N
Sometimes we need a response or a person to talk to. Having a 7-10 day wait for a response after a 3 week wait for claim response I think is to long.,N
Sometimes you want specific answers and you can't find,N
Still after 10 days no response on my claim status,N
Still cannot log pin have problems with everything,N
Still have not got paid,N
Still haven't gotten my first payment. It's been 3 weeks now!,N
still i can't log in and when i tried to call no answer,N
Still waiting to find out about my claim it's been around 4 months,N
Suffered mild stroke back in May.  Attempted to file short term disability.  Never received a check for the 90 days i was off of work.,N
System is easy to use. Slow sometimes,P
System is generally always down at night time. Phones are always busy even when calling  at 8 am you can't get through for assistance.,N
System is not user friendly and does not allow for attaching any files for the application. Phone system took 3 days to connect to an individual and then they hung up on the transfer to talk to a supervisor.,N
Takes an act of congress to get someone on the phone.  By the grace of God after 3 months talked to [NAME].  She offered explanation and followed through on our discussion.,N
tax info has to be sourced,O
"Telephone service hard to respond to. after several attempted questions,  was told no one was available to talk to and I should call again in the future. It was only 3:30 pm. Need a operator, recording, or live person to answer at the last prompt. I tried 4 times. Worst telephone experience. Thank you for question.",N
"tengo mas de tres meses y me traen a puras vueltas que me falta esto que me falta otra cosa y en fin muy mal servicio ademas de no poder entrar  para comunicarme con ustedes por telefono. [I have been here for more than three months and they keep telling me that I am missing this, that I am missing something else, and in short, very poor service in addition to not being able to log in to communicate with you by phone.]",N
Terrible service,N
Terrible service.,N
Terrible trying to get help and guidance,N
Terrific new system as long as you use online only,N
Tha k you,P
Thank you,P
Thank you,P
Thank you,P
Thank you,P
Thank you easy to used,P
Thank you for calling. Makes it much less stressful and is very helpful during a busy time.,P
Thank you for your kind help n assistances.,P
Thank you You made it easy to file and claim,P
Thank you!,P
"Thankful for this service, hoping to get my medical issues solved and back to work. Baring any more surgeries yet to come.",P
Thankful that I can have this help during my lengthy medical complications.,P
Thanks for the help,P
Thanks for the online service and I appreciate the work that you're doing for me.,P
That EDD will promptly answer the inquiries of the client thru email response or text messaging at least.,O
"That there is not an option to speak with a representative directly is incredibly infuriating. I am not receiving benefit payments and cannot contact anyone online, despite the instructions for how to contact someone online. When I call in, the lines are busy and the call is ended. I have to resort to going into the actual EDD office when I'm nursing with a newborn. This is a very poorly staffed outfit, and I'm sorry to those representatives who have to work there.",N
That's just how I feel ..,O
"The 800 phone number provided to contact EDD is no help. Waiting on hold for 40 minutes 'on cue' only to be hung up on. This is common when calling EDD. Also, what's common is the 800 number has 'too many callers' after immediately opening at 8am. That usually lasts for hours.   If someone doesn't have the ability to come into the office they will have difficulty finishing their claim.  Very frustrating. Please improve the 800 number response.   Thank you",N
The answers were direct and helpful,P
The application process was an easy process,P
The bott isn't able to answer questions correctly and the. We aren't able to reach anyone ever over the phone it's really a disaster.,N
The CA SDI has always been a challenge to get info on one's claim and it's almost impossible to get a hold of a human,N
The claim process was very clear.,P
The contact information gives you a number to call the number you call tells you to go online to contact someone for assistance. You have to keep calling back to reach a representative to answer your questions. Meanwhile you claim is delayed   I had issues finding the forms I needed only to realize they were mailed to me.,O
The customer Service local office was also helpful. Was able to help me reset my security-password login. In the beginning it was very diifficult because its been about 8 years since my last claim.  Things has changed and somethings I did not remember. EDD/ SDI offer a lot of tools to assist.,P
"The Edd has failed epically. There is not even a time of extra unemployment and edd still can't do their job in the time frames provided by law. I just filed a wage claim against my employer and edd just did the exact same thing to disqualify my claim that is very much valid and edd is committing fraud and disability discrimination and I have requested a manager callback over five times since [DATE] and not one has been facilitated after expectations were set by edd employees. I am owed three months of back pay of [DOLLAR AMOUNT]. Edd has not done their job, has committed fraud, and I want complaints filed for disability discrimination and defrauding me out of three months of back pay. This complaint is not going to go away until it is addressed and I am paid the benefits I am owed.",N
The EDD web page gave me all the instructions and walked me through the process without any issues.,P
"The EDD website is very helpful if one follows the instructions, one can find it easy to navigate the website.",P
The EDD website is very useful and informative on the claim process about how and where to start from.,P
The EED website has an answer for just about any type of question. Very useful.,P
The error message when trying to login for the claimant registration does not work properly. It should show you want needs to be fixed. You also need more representatives on the phones to assist. I just spent 45 minutes on the phone with a rep who was filling out the wrong form for me. Then she transfers me and there is no one to assist.,N
The excessive wait times along with the inability to actually speak to a representative is unacceptable.    As is the incorrect information provided by representatives.    It's not an enjoyable experience dealing with EDD.,N
The explanation was direct and to the point,P
The forms link is difficult because you have to have exact form namesof the required forms.,N
The forms were very easily understood and to fill out.  The Claim center was courteous and answered my questions in friendly customer service way.,P
The ID me is not working i need to file for disability help,N
The inability to reach a representative at SDI via phone is unacceptable.  Weeks and weeks of calling to be told 'maximum number of callers reached starting at 8:01am up until 5pm.  How are claimants supposed to resolve anything when no one can be reached by phone.   Ask EDD is useless.   Requesting a 'claim update' through portal has never resulted in any response after months.,N
The info regarding extensions is not reachable.,N
The information and requirements are not clear and lacks of explanation,N
"The information is good but there are so many other questions and challenges with filing.  Like, when I return to work, should I still fill out the forms sent to me, even if I submitted that I have returned to work and my doctor confirmed it?",O
the information regarding my claim is not as responsive as i need it to be -,N
The in-person office could use more staff. I was there for three hours. Then they went to lunch. I went back and it was more of the same. In fact the staff was hanging out in the back when lunch was over. I was so disappointed that I went home. It was a very stressful experience.,N
The language is not for the laman,O
"the least user friendly website i've used this century. frankly, an embarrassment to our state. would still be waiting for my first check if i hadn't contacted my assemblymember's office.",N
The line is not the problem the answering the phone calls to speak to a real representative is the problem. It's ridiculous how long we have to wait and then we don't even get in touch with nobody. Nobody gets in touch with us. It's ridiculous and you guys need to do a new system.,N
The o le issue is that there is no one to answer the phone,N
The office in [CITY] is very rude and disrespectful and the help over the phone is not good at all,N
The on line tutorial is Very easy to follow and understand .,P
The Online Activity is Easy and Efficient.,P
the online filing never worked.  went to edd office in person they could not solve the problem.  huge waste of time.  had success with paper application,N
The online portal is vague. Does not give actual updates. Can't speak to a live rep. I'm buried in bills and no clear updates why my claim has not been paid.,N
The online self serve services are convenient. But nothing beats been able to access live agents . Thank you,O
The online system was down for about a week when I needed to turn in some forms,N
The only issue I came across was not being able to talk to a live person. When I called I would receive a message that there were too many callers and to try again later.,N
The only issue is that it wants clear to tell me that I had to contact my doctor to submit my medical form. Please update that vecuse my claim was pending for I days i til I called the nu bet sns it gave me instructions to contact the doctor to have them submit this.,O
"The only issue was being able to contact some to find out if I'm getting paid for my extension, waiting for another waiting period on not getting paid at all",O
The only negative is it takes hours/days to get a representative.,N
The only problem is trying to speak to a representative. I have spent days and many hours trying to speak to an agent. The recording says the amount of calls has been reached please call again. Also I don't like they took away the drop box at the EDD office. People were complaining that they have to wait in line for hours when all they have to do is drop off documents.,N
The only thing that I think is difficult to navigate through is the inbox. It seems very difficult to locate which items were sent most recently.,N
The operator was very knowledgeable and patient explaining plus she had a pleasant voice and spoke perfect Spanish.,P
The phone system is the problem. I had to actually go to the EDD office to request  assistance . I was called in a couple of hours and my issue was resolved. I received a whole month of pay immediately,O
"The phone system is very poor.  If you leave a message they get back to you.  You can start at 8am., and the system tells you they have reach their number of callers.  Some of the forms are not on the list for you download and fill out. Getting an answer back is not easy and time consuming. The online system does not have the questions you need to have answered. If you need to apply for extension there's no place on the site to tell you how to do it.",N
"The portal didn't work for me to file an appeal, and I've called nearly 12 times a week and can't get in touch with sbyove",N
"The problem wasn't  online, it was calling the customer service. It was impossible at times to speak with agent.",N
"The process can be a little tricky and the process takes so long.  People work because they need the money, prolonging the process can lead to a person being deeply in debt.",N
The process is not as simple. I am struggling with depression and the process makes me hopeless and want to give up,N
The process is user friendly,P
"The process is very difficult, you can not talk to anyone emails are very difficult and no one answers you, you try calling on hold for 2 hours and then told we have to many calls for the day click hang up on you. I finally received my check after my local Senator got involved. Never no where I stood I tried calling for status put in my SS# but said not valid even when I had a form filled out, worst system I have ever had to deal with , my wife has still not heard back either on her family leave pay.",N
The process was quick and simple to process.,P
"The question I had was not included, but I learned some other things related to sdi",O
"The question in my case should've been, why couldn't I login to any/all websites.  After trying to apply resulted in, I had been mistakenly blocked by EDD and referred to your Tech Team to undo the block.  Once in, everything went smoothly.",O
"The question was re routed to another rule or website and when you needed to go back, it would take you to the beginning or need to login in.",O
"The questions are vague. Hard to manuver through sites. I was told to fill out form 4365DI which I could not locate. My Chiropracto [PHYSICIAN NAME] inputed the wrong date in Page 6, Section 4 claim information as question #3 date of trauna as [DATE1] which should have stated [DATE2].   Also reported and seen emerge testing doctor on [DATE3] appointment set by [COMPANY NAME].  Was denied financial support for medical support by [COMPANY NAME].",N
the 'real date' information may conflict with applicant 'submission deadlines' many times i am left confused as to why the 'system' is not working or responding.,O
The representative I spoke with was patient and methodical when answering my questions.,P
the representative that assisted me yesterday was very helpful and i appreciate it.,P
The 'resources' are generic information so the generic info is just that. Calling the number is a joke as you can never get in- it's been 5 days so far which is hindering me.,N
The resources are very helpful because it answers all your questions,P
The response time was horrible. Also them updating the payment portion was horrible as well,N
The SDI rep helped me understand the steps I needed to complete to continue.,P
The SDI rep helped me understand what I needed to complete and correct my error.,P
The site is fairly easy to navigate & the in office staff is very helpful.,P
The sites can be confusing. It would be helpful if there were videos explaining the steps and process of filing for disability.    It is very confusing when I log into my portal because there are no clear instructions of what needs to be done.,N
"The system has a glitch, every time I try to sign on it I ants me to proceed as a new claimant, and after I go through the process of signing in as a new claimant. Every time I sign on it doesn't work.",N
"The system is down, I have called over 20 times for the last three days, even my dr can't get on itÖ it should not be this difficult",N
The system is easier to get into information than it is to actually fill out the forms. It also will not allow me to change my address to my new mailing address,N
The three step verification process was difficult to implement.,N
The wait time Is way too long as My bills fell behind in the process. It was nearly impossible to get through on the phone and waiting in line at the office was an all day affair,N
the wait time to speak with a representative is unacceptable.  it would be helpful if there was an option to leave your phone number for a call back,N
"The web page is very very hard to navigate, can't find anything I need , can't find where I can send questions since I can never get through on the phone or try to request a call back",N
"The website continues to give me errors and doesn't allow me to access my account status. It tells me I have 2 new messages, however I can't find or access them.",N
the website is circular and does not allow me to view any claim status because I filed on paper.  The website is virtually worthless and for the 4th time I had to visit an EDD office in person for a simple question.  Totally inefficient.  This is NOT what I want my tax dollars spent on.  Get with it!!!,N
The website is difficult to navigate and quite time consuming.  Finding answers to questions is difficult to find.  Establishing and ultimately logging into  imy account proved to be the most tedious.  It took me about three hours to file my claim electronically and I consider myself pretty adept at filling out forms electronically.,N
The website is easy to navigate,P
The website is easy to navigate. The step-by-step instructions give you the perfect guide for successfully completing the documents.,P
"The website is just clunky, I would think Ca could do better",N
The Website is not helpful when i try to contact a person. My issue cannot be solved by using online only. It is impossible to talk to any one or even find a physical office to go to. The website takes me in circles and this is a government program! Where are the people to help me?,N
The website is not intuitive.  Someone that is not a part of this process should be testing the functionality.  It is very hard to navigate.  The iphone version is almost unusable.,N
The website is set up great it's very user friendly.,P
The website is very hard to navigate and isn't user friendly at all.,N
"The website is well designed. I had several issues and wasn't able to contact anyone by phone or email (generic automated answer). I went in person to the [CITY] Office and they were incredible. Both times that I went, they were polite, pleasant and very kind.",O
The website keeps logging me out while applying. The instructions were fine,O
The website will freeze and the customer support will send to a bot  and Hang up on you,N
The website/employees do not respond. I have emailed several times since [MONTH] with questions and no response about my claim.,N
The websites are far too wordy. You need to use plain English and more simple terms. A lot of things can be interpreted multiple ways and it's confusing as hell it needs to be simplified.,N
The workers and staff are wonderful in all what they do thank you for everything,P
The workers work hard they need a raise  Great job workers .thank you for all your hard work.,P
"There are certain forms that you have to have the original , and the website doesn't tell you that it just doesn't simply have the form. And trying to get ahold of disability office via phone is impossible.It just doesn't work",N
There are plenty questions but very hard to get firm and clear answers for stress and concern relief especially in financial crisis at this time due to disability.,N
There have been necessary forms that I needed but couldn't locate them. Forms I needed to fill out that I was not notified about. I tried to contact EDD multiple times and received no responses. And the AI behind ask EDD couldn't guide me to info I needed.,N
There is never anyone staff member that answers the phone when there are questions.  The respond via website with crytic emails that are not helpful.,N
There is no information on how to instruct your doctor to fill out the form online.  There is no link.  It only says they can do it online but now how or where to access DE 2501 B,N
there is no response to any questions   totally  ignored!  Very bad service !!!!,N
"There is no useful available information, and no one answers the contact phone # or calls you back when said they will. Extremely frustrating process. Now I have a notice 'requiring my attention' and a link to 'view my message' which is a series of choices (no messages link). Confusing and down the rabbit hole. Very frustrating dealing with you.",N
"There is no way to get a live rep which is terrible for a disabled person as travel to an SDI office is difficult and dangerous - I have [MEDICAL CONDITION] and had to go to an office potentially infecting others because I can't get a rep on the damn phone.  A man at the office with a bad back had to take like three buses to get to the office and that is outrageous when you're injured.  Also, my doctor cannot make an online ID to authorize because she had to use SDI for maternity leave.  This is a HUGE gap in the process and the reason why I personally had to drive two hours to get to an SDI office with highly contagious [MEDICAL CONDITION].  Please get more call center workers for SDI - UI can go to the office, disabled people cannot do so easily and need more phone or electronic support.",N
There is no way to get in touch with anyone from Edd no email and no way to ask questions,N
"There is no way to send an email and unless you are on the phone at 7:59 you can never get a hold of a live person. I appreciate the benefits, but I have questions.",N
"There is such a delay in responses through my account. When I call I am eventually hung up on after queuing the #s they ask you to pick. I have processed the Continuation for benefits and my Dr provided information on [DATE]. I was never notified you did not received my Cert of Cont of benefits or that the Dr did not completed theirs properly for 1 month. So, we are playing catch up now. I have Receipt #s for everything. We resubmitted both forms now you are saying we were late.",N
"There needs to be some accountability on your part. It appears that one hand doesn't know the other. If you receive pertinent documents from an applicant after they were given different information from a representative, it would be sensible to update the portal upon receiving the documents. Your phone systems are horrible, and the delays only cause even further delay not making this as supportive as it puts on. There have only been less than a handful of people who have shown some human sense of regard.",N
"There should always be an option on how to reach a human being, OR a link to pertinent site.",N
there should be highlighted selections since the small black print is not easily noticeable by seniors who are not familiar with the computer system.,O
"There was a glitch in website when attempting to submit my claim online. After you enter all info and also enter info for direct deposit, it gives illusion you are done when submitting via cellphone, I waited several weeks, tried to contact the call center, to no avail. I then realized weeks later that I had not received a claim number and proceeded to submit claim via laptop.it's hard to practically impossible to contact anyone via phone and I was in the hospital. My husband had to drive out twice to an office( first time was turned away and told needed to have the waiver form completed.",N
There was no pre typed answer for my question,O
There was not a form to assist me. There was no questions that pertain to my particular situation.,N
"There was quite a delay. However, the process itself was streamlined.",O
There were some disability questions that I had to go into office and ask for a call back. I tried the website and calling number at least 50 times and I couldn't get through,N
There's hardly any way to successfully contact EDD DI. Then when you finally get someone they are very stressed and sound as if they need leave in order to function in life. It's awful.,N
There's no way to talk to an actual person with urgency.,N
They assist me too process my claim,P
They didn't answer my question,N
They don't respond to emails and you can't get in to call . I've been trying for months and weeks . Worse call center ever! This is ridiculous you can't even speak to someone no matter what day it is or what time it is smh! I even put my name on the list for a call back which I never received,N
"They haven't paid for over a month, impossible to get through the phone line",N
They helped clarify and navigate through the process,P
They informed me that my payment could take up to three weeks.,O
They just took care of all my needs.,P
They never gotten back about my status and even when I call throughout the day I can never get ahold of someone via telephone or phone call,N
they take long to respond,N
They were somewhat useful. I had to do the paperwork twice before they got it right.,N
they were very easy to navigate,P
They would never answer the phone and would always be maxed on callers.,N
Things are more accessible  and have clear understanding,P
"This appeal determination is in error of your own ID confirmations. So now in double bind, says not to submit appeal if its in error. ID me confirmed me, and I also sent twice everything by mail and special separate mail for address. what is going on here?  They never answer my delays question . There is a letter of computation.",N
This department has the worst customer service ever!  Your phone line is always busy. People are trying to get help due to disability and how they are treated is shameful.  I hope they sue this agency for the way they treat people.,N
"This department is worse than DMV. Can't speak to a real person. The web site is completely useless.The only way to get get any thing done with Edd is to drive down to the office,wait in a two hour line and hope for the best",N
"This entire process has been painful and horrible. I am a first responder, have saved thousands of lives in my career, but when I go down at work caused by work injury, I am left completely forsaken. I have never been able to reach customer service, after calling over 100 times, whether it be morning, afternoon, or evening. The entire process is a mockery and a shame. With all of the tax dollars that the government gets from THE TAX PAYING WORKING CLASS, the fact that you don't have more customer service answering telephones to help THE WORKING CLASS THAT PAYS YOUR BILLS is pathetic, trucelent, dispicable behavior.",N
This entire site is NOT user friendly and needs a complete overhaul.,N
"This government agency is the absolute worst and belongs in the toilet. Contacting them by phone which they ask for me to do is an absolute joke! Myself and others have tried hundreds of times all hours of the day all days of the week.    When asked to enter information with your keypad, you are told invalid entry and told goodbye and hung up on.   I received a message in an email stating 'be prepared to discuss the following' and to please contact SDI... Like I mentioned up above in this note 'you're kidding me' about a live person connection on the phone.  If you'd like to try this for yourself here is the phone number [PHONE NUMBER].  This agency is causing myself and my family to suffer both monetarily and emotionally...as we are dependent on the funds that I am entitled to. One should not have to suffer such mental agony.   This agency needs a restructuring so the people of California stand a chance when seeking help.  I am now forced to take public transportation to their branch office.",N
This has been a blessing   As a 60 year old to get this help has been a god send   Thank you so very much,P
This has been a horrible experience. I've paid taxes for 18 straight years and you made me wait until the point of being homeless before you started to diatrubute crumbs compared to what I am RIGHTFULLY OWED. Karma always comes around.,N
This has been the worst experience I've ever encountered.  You do not care about the people that depend on you.  Website has no information.  Now its saying I don't hav access to my claim and no one answers the phone.  During an already terrible time you made my mental health 10000 x worse.  Absolutely horrific experience and still not solved,N
This has helped me considerably...,P
This is my first time filing disability insurance due to my knee replacement. It is frustrating and impossible to talk to someone on the phone. Ridiculously impossible.,N
This is my first time navigating this on line. It would be helpful if there were step by step instructions. It would save effort and time.,O
This is my fourth week of being on disability. I had surgery almost a month ago now but never received any disability check. I feel like I'm suffering from my recovery plus delayed disability check. I have to pay my bills but worried where to  budget to pay bills. I'm very disappointed with the EDD,N
This is very hard to understand the process on line and doesn't describe well the benefits I have 4 weeks of on disability I estar the process right went I get out of the hospital and until know I haven't get paid try to get in contact with a person is impossible through the phone neather through the Web site. I very frustrating I go in back to work almost and no payment this is a nightmare. Make you sick from all the frustration. Edd disability is the worse.,N
This process is very difficult and confusing so these resources are great,P
"This process needs to be more accessible yo people that have a learning disability, this was highly difficult to navigate.",N
This set up is very helpful in a way that you can understand,P
This site was very easy to navigate,P
This system is created for people to fail or give up so people don't get their benefits. I had to call 12 times in a row which took 1 1/2 hours to finally reach a representative. Then got denied some benefits because I waited too long. Then asked me why I didn't contact edd sooner. Unbelievable!,N
"This time that I require to use EDD, it was the easiest time to apply.  Thank you",P
This website it simply and very functional I love it,P
"THIS WHOLE PROCESS IS A JOKE.  YOU JUMP THRU ALL THE HOOPS BUT NO IDEA WHERE YOU ARE AT ?  AND TRY CALLING ? THIS IS A BIGGER JOKE! THEN THEY MAKE A MISTAKE, OVERPAY ME A DAY AND THEN THREATEN ME ??? ALL I WANT TO DO IS PAY IT BACK ! YOU NEED IT MORE THAN I DO !!! EDD NEEDS TO BE FIXED !  THIS IS A JOKE FOR A STATE AS LARGE AS CA !",N
"This whole process was absolutely convenient, easy and fast.",P
"Thought help button would be more like AI chat, not just simply a sentence explanation of the title of each section.",O
Time to process was taking too long. To some of client who's in urgent that's the problem and giving hard time.,N
Timely help and courtesy,P
To be more specific of what  need to be answered or what colom more details,O
To contact EDD is very frustrating because of how long you have to wait to talk to someone.  Would be easier to be able to make an  in person appointment.,N
To contact edd office is impossible   I got cuestions about my claims and never going to be answered by computer   Edd said 'do not call earlier in the morning or later in afternoon or do not call at all we are busy',N
To easily navigate the process I tried to learn the procedures so there would not be any delay.,O
"To get info with my claim, I called the 800 # and got no help with the line. Had to go down to the office to see what was going on with the claim. I received the info I needed which was a big help they were to approve a pending review at the window which took 3 weeks or more. You need to come up with some other ways of approving with the online submissions.",N
To hard  with the calls nobody answered,N
To try and get a live person on the phone is impossible. It doesn't matter day or time.,N
Told me I'd an answer in a week. Still waiting,N
Too many steps to get in with too many log ins,N
Took forever to finally get an agent on the phone. When I did get an agent on the phone they were very helpful and I had all my questions answered.,P
Took so long to get paid.  Possibly due to holiday?   Was paid for 3 months back pay.  Unacceptable!,N
"Trate de comunicarme debido a que mi pago no aparece, pero no pude hacerlo. tampoco aparece en mi buzon de mensajes la certificaciÛn medica que recibieron por parte de mi doctor y de igual manera mi fecha de regreso al trabajo no se a actualizado en mi cuenta en linea [I tried to contact them because my payment is not showing up, but I was unable to do so. The medical certification they received from my doctor is not showing up in my inbox either, and my return to work date has not been updated in my online account.]",N
"Tried calling many times to cancel my claim. Was told no one was available and hung up on. If there is no one to help over the phone, then that should not be the only option/solution to cancel a claim. We should we able to do more online or at least an option to be called back at your earliest convenience. This is such a serious matter, esp when it comes to someone's money or possibility of them being finedó potentially by accident because they filed under the wrong category. English is my first language and I found this incredibly difficult. I cannot imagine how this must be for someone who does not understand English and has no knowledge of how the process works with little to know help. Do better please, hire more people, find a solution online. Anything! Other than hanging up on us and saying 'no one is available at this time.' Please and thank you.",N
"tried filing a claim online on Dec 6 but faced a technical issue. Despite daily calls to EDD and technical support, I couldn't reach anyone for help. After days, I finally spoke to someone who reset my profile and asked me to wait 24 hours to log in again, but I'm still unable to create an account.    I later contacted an associated office, but they could only open a ticket, telling me to wait another week. This delay is deeply frustrating as many, like me, depend on these services.    Please escalate this issue and help me file my claim without further delay. I look forward to your response.    Sincerely, [NAME]  [EMAIL]  [PHONE NUMBER]",N
"Tried for four weeks to contact disability. All during the week, morning and evening, does not matter.",N
